station,date,angle,angle_1,angle_2,str,fromto,dist
537870-99999,2003-4-1,35.0969054468,336.557907951,89.7611075264,9,False,24.0142163038
537870-99999,2003-4-6,49.1802347389,351.099294794,85.9967292178,11,False,26.5764069599
537870-99999,2003-4-11,98.8962590829,353.709609921,89.1927623356,9,False,26.7848044618
537870-99999,2003-4-16,355.902546547,336.557907951,22.2433735208,4,False,12.9404912883
537870-99999,2003-4-21,71.5852163747,22.2433735208,131.533079644,7,False,15.3423574536
537870-99999,2003-4-26,66.2669465604,22.2433735208,100.809255056,8,False,18.3053005115
537870-99999,2003-5-1,93.500479776,58.220183315,118.301690869,8,False,27.8090338648
537870-99999,2003-6-20,152.277911017,138.539129212,172.569621359,4,True,30.6877786588
537870-99999,2003-7-25,73.4352688598,62.8059528157,99.9628405904,8,True,51.2305313095
537870-99999,2003-8-29,91.3863774857,83.8853595226,110.747905848,5,False,31.4183713912
537870-99999,2003-9-3,85.974854041,83.6902886241,89.1927623356,5,False,25.6180185051
537870-99999,2003-9-8,74.8886546908,36.1261293157,89.1927623356,7,False,22.6176039821
537870-99999,2003-9-18,94.7376736936,79.7126286092,110.747905848,4,False,41.3674905839
537870-99999,2003-9-23,86.8931949551,79.3699908935,102.4934311,4,False,41.3184472729
537870-99999,2003-10-13,65.3454289039,58.220183315,72.1930418778,5,False,35.1464580615
537870-99999,2003-11-27,161.082914256,140.698178282,183.062396015,5,True,21.132477238
593160-99999,2003-1-1,29.1684558786,14.9167803239,42.6996782469,4,False,44.1927879109
593160-99999,2003-1-6,27.0659273148,14.9167803239,42.6996782469,5,False,43.0803099119
593160-99999,2003-1-11,38.607294436,20.0230301856,46.9481653734,6,False,45.3361956427
593160-99999,2003-1-16,29.3421582022,333.104167659,65.4964774981,12,False,42.7501429084
593160-99999,2003-1-26,310.365339635,263.676761407,341.082585817,6,False,9.96780158696
593160-99999,2003-1-31,4.04182379846,344.810129908,20.0230301856,5,True,40.6618941995
593160-99999,2003-2-5,349.481589761,341.887898466,358.19409919,4,True,47.1440829841
593160-99999,2003-2-15,89.9567803574,65.4964774981,119.104390557,5,True,28.8623886291
593160-99999,2003-3-2,59.6615532667,39.0343347578,87.4277034764,5,True,42.1246227305
593160-99999,2003-3-22,46.9954965738,31.2905197622,65.4964774981,5,True,43.0661534474
593160-99999,2003-4-1,40.2345320189,27.6641371339,54.9898406321,6,False,56.9237567998
593160-99999,2003-4-26,7.91685441811,351.762619287,20.0230301856,4,False,36.9552804811
593160-99999,2003-6-15,64.8134207734,42.3782807182,94.0946310737,5,True,43.269948258
593160-99999,2003-7-5,95.9943930423,84.0805581265,105.48716287,4,False,11.9682176736
593160-99999,2003-7-20,19.932463733,356.848321345,32.4357470599,4,False,15.422029259
593160-99999,2003-8-14,91.4214120093,84.0805581265,100.082755361,4,True,19.0689253817
593160-99999,2003-8-19,1.7696588931,321.806063853,39.8162529889,7,False,35.7517803834
593160-99999,2003-9-18,48.2219459715,344.904752325,105.48716287,21,False,29.0426439173
593160-99999,2003-9-18,338.324782734,333.104167659,343.437814977,8,False,33.2386488908
