station,angle,angle_1,angle_2,str,fromto,dist
535640-99999,2003-11-27,205.007208965,178.344777634,249.977877863,10,True,26.4906525089
535640-99999,2003-11-27,104.396325721,97.7843502794,111.745028732,4,False,21.5867922702
535640-99999,2003-11-22,205.17105126,175.473021169,249.977877863,13,True,26.3882082947
535640-99999,2003-11-22,81.4373315221,72.7931633379,86.5380474092,4,False,35.2061240684
535640-99999,2003-11-22,104.396325721,97.7843502794,111.745028732,4,False,21.5867922702
535640-99999,2003-7-25,302.470533708,281.513009819,329.789555834,5,True,22.7985575644
535640-99999,2003-7-25,69.8509182903,68.2508796212,72.7931633379,4,True,38.3667538943
535640-99999,2003-7-25,124.994159199,105.67103841,159.42150323,7,True,25.5242588964
535640-99999,2003-7-25,94.0917624894,85.2292260271,103.073420703,7,False,36.8822117494
535640-99999,2003-7-25,205.19229806,196.055063499,214.534487502,4,False,26.4928106801
535640-99999,2003-9-13,167.591390289,146.951803069,185.30111668,4,True,30.4530445573
535640-99999,2003-9-13,226.243978315,203.508016387,249.977877863,6,True,20.3973984023
535640-99999,2003-9-13,90.2105436738,69.7665643764,105.67103841,10,False,34.5847313358
535640-99999,2003-1-16,198.95890353,155.134376438,228.354951955,12,True,31.3202183876
535640-99999,2003-1-16,93.673645665,81.1888893144,111.745028732,7,False,32.4722529838
535640-99999,2003-1-16,42.7874825055,301.256945296,321.077978607,4,False,21.8602045608
535640-99999,2003-4-16,203.039341103,158.52104949,249.977877863,11,True,21.8793968182
535640-99999,2003-4-16,69.332351511,42.1665892074,81.1888893144,5,False,22.9376899545
535640-99999,2003-6-30,298.434176134,283.668220092,316.591502388,4,False,34.9857002322
535640-99999,2003-9-23,221.785514094,185.30111668,249.977877863,5,True,17.7074397931
535640-99999,2003-9-23,96.5470674039,80.746551319,119.561020415,5,False,36.0667689921
535640-99999,2003-5-21,87.4418928828,72.7931633379,103.073420703,7,True,47.8560136977
535640-99999,2003-5-21,141.915296586,111.745028732,188.274669648,7,True,25.0922254407
535640-99999,2003-5-21,211.452349099,203.508016387,214.534487502,4,False,30.0289000398
535640-99999,2003-9-28,248.498673258,213.557629738,290.249367083,10,True,21.4210564917
535640-99999,2003-5-26,80.8937537125,69.7665643764,95.5678375606,5,True,47.35865795
535640-99999,2003-5-26,152.42020539,129.624716317,188.274669648,5,True,24.4397310474
